============================================================
EC Certifiers Batch Extractor
============================================================
Total ECs: 1477
Done: 0, Remaining: 1477
[338/1477] EC0506: 1 certifiers ✓
[339/1477] EC0507: 8 certifiers ✓
[340/1477] EC0508: 0 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 261 min
[341/1477] EC0509.01: 1 certifiers ✓
[342/1477] EC0510: 1 certifiers ✓
[343/1477] EC0512: 1 certifiers ✓
[344/1477] EC0513: 3 certifiers ✓
[345/1477] EC0514: 4 certifiers ✓
[346/1477] EC0515: 1 certifiers ✓
[347/1477] EC0516: 1 certifiers ✓
[348/1477] EC0517: 5 certifiers ✓
[349/1477] EC0518: 15 certifiers ✓
[350/1477] EC0519: 0 certifiers ✓
[351/1477] EC0520: 5 certifiers ✓
[352/1477] EC0521: 7 certifiers ✓
[353/1477] EC0522: 0 certifiers ✓
[354/1477] EC0523: 1 certifiers ✓
[355/1477] EC0524: 2 certifiers ✓
[356/1477] EC0525: 2 certifiers ✓
[357/1477] EC0526: 1 certifiers ✓
[358/1477] EC0527: 1 certifiers ✓
[359/1477] EC0528: 1 certifiers ✓
[360/1477] EC0529: 0 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 256 min
[361/1477] EC0530: 0 certifiers ✓
[362/1477] EC0531: 10 certifiers ✓
[363/1477] EC0532: 30 certifiers ✓
[364/1477] EC0533: 2 certifiers ✓
[365/1477] EC0534: 1 certifiers ✓
[366/1477] EC0535: 1 certifiers ✓
[367/1477] EC0536: 8 certifiers ✓
[368/1477] EC0537: 8 certifiers ✓
[369/1477] EC0538.01: 1 certifiers ✓
[370/1477] EC0539: 49 certifiers ✓
[371/1477] EC0540: 0 certifiers ✓
[372/1477] EC0541: 0 certifiers ✓
[373/1477] EC0542: 1 certifiers ✓
[374/1477] EC0543: 1 certifiers ✓
[375/1477] EC0544.01: 1 certifiers ✓
[376/1477] EC0545: 1 certifiers ✓
[377/1477] EC0546: 1 certifiers ✓
[378/1477] EC0547: 1 certifiers ✓
[379/1477] EC0548: 40 certifiers ✓
[380/1477] EC0549: 13 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 251 min
[381/1477] EC0550: 1 certifiers ✓
[382/1477] EC0551: 1 certifiers ✓
[383/1477] EC0553.01: 5 certifiers ✓
[384/1477] EC0554.01: 4 certifiers ✓
[385/1477] EC0555: 5 certifiers ✓
[386/1477] EC0556: 5 certifiers ✓
[387/1477] EC0557: 1 certifiers ✓
[388/1477] EC0558: 1 certifiers ✓
[389/1477] EC0559: 1 certifiers ✓
[390/1477] EC0561: 4 certifiers ✓
[391/1477] EC0562: 1 certifiers ✓
[392/1477] EC0563: 1 certifiers ✓
[393/1477] EC0564: 4 certifiers ✓
[394/1477] EC0565: 1 certifiers ✓
[395/1477] EC0566: 10 certifiers ✓
[396/1477] EC0567: 1 certifiers ✓
[397/1477] EC0568: 1 certifiers ✓
[398/1477] EC0569: 3 certifiers ✓
[399/1477] EC0570: 2 certifiers ✓
[400/1477] EC0571: 1 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 247 min
[401/1477] EC0572: 18 certifiers ✓
[402/1477] EC0573: 15 certifiers ✓
[403/1477] EC0574: 12 certifiers ✓
[404/1477] EC0575: 6 certifiers ✓
[405/1477] EC0576: 0 certifiers ✓
[406/1477] EC0577: 2 certifiers ✓
[407/1477] EC0578: 1 certifiers ✓
[408/1477] EC0579: 0 certifiers ✓
[409/1477] EC0580: 2 certifiers ✓
[410/1477] EC0581: 44 certifiers ✓
[411/1477] EC0583: 0 certifiers ✓
[412/1477] EC0584: 0 certifiers ✓
[413/1477] EC0585: 53 certifiers ✓
[414/1477] EC0586.01: 40 certifiers ✓
[415/1477] EC0587: 1 certifiers ✓
